name,location,category,tags
경찰혼,영등포구,1.0,#경찰#경찰서#경찰혼#관광지#사계절#수도권#아이와함께#역사를품은곳
안중근의사 동상,용산구,1.0,#관광지#사계절#수도권#아이와함께#안중근의사동상#역사공부#역사관광지
해공신익희선생동상,강동구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳
템플스테이 홍보관,종로구,1.0,#가족여행#가족체험여행#관광지#사계절#연인과함께#외국어해설#이색체험
국제선센터,양천구,1.0,#가족여행#가족체험여행#관광지#국제선센터#사계절#연인과함께#외국어해설
유니버설아트센터,광진구,1.0,#가족여행#공연장#관광지#나들이#데이트코스#문화시설#수도권#실내여행지
양천생활안전체험교육관,양천구,1.0,#관광지#교육여행#교육장#교육체험#아이와함께#아이와함께가볼만한곳
서울 애니메이션센터,중구,1.0,#관광지#도심여행#복합문화공간#서울애니메이션센터#수도권#아이와함께
경희궁공원,종로구,1.0,#가족여행#경희궁공원#고궁#관광지#교과서속여행#사계절#수도권
세종로공원,종로구,1.0,#걷기여행#관광지#도심여행#사계절#산책길#산책하기#산책하기좋은곳
롯데월드,송파구,1.0,#17_18한국관광100선#19_20한국관광100선#가족여행#관광지#놀이동산
영등포공원,영등포구,1.0,#가족여행#걷기길#관광지#데이트코스#도심여행#사계절#산책길#산책하기
무중력지대 양천,양천구,1.0,#가족과함께#관광지#남녀노소#문화공간#복합문화공간#아이와함께
용산공원 갤러리,용산구,1.0,#갤러리#관광지#용산공원
서울로 7017,중구,1.0,#19_20한국관광100선#걷기길#관광지#나홀로여행#데이트코스#도심여행
서울색공원,영등포구,1.0,#가족여행#관광지#데이트코스#도심여행#사계절#산책길#산책하기
남산서울타워 한복문화체험관,용산구,1.0,#관광지#데이트장소추천#미세먼지_피하는_실내여행#사진여행#사진찍기좋은곳
천간사,은평구,1.0,#관광지#불교#불교문화#사찰#사찰여행#수도권#역사#전통사찰#종교
충무공 이순신 동상,종로구,1.0,#관광지#광화문광장#교과서속여행#남녀노소#도심여행#산책하기#산책하기좋은곳
광진교 8번가,강동구,1.0,#관광지#광진교8번가#데이트코스#사계절#상설공연#실내여행지#연인과함께
세종대왕 동상,종로구,1.0,#관광지#광화문광장#교과서속여행#도심여행#세종대왕동상#수도권
백범김구선생상(백범 광장),중구,1.0,#3·1운동_100주년_여행지추천#가족여행#관광지#나들이#도심여행
"서울교통공사 (신정,수서,천왕)",성동구,1.0,#가족과함께#관광지#교육여행#교육프로그램#도심여행#서울교통공사
윌리엄해밀턴쇼 동상,은평구,1.0,#공원#관광지#동상#아이와함께#역사#역사공부#역사관광지#역사를품은곳
한강방어백골부대전적비,영등포구,1.0,#관광지#국군#백골부대#역사#역사공부#역사관광지#역사를품은곳
호국충혼위령비,강서구,1.0,#관광지#역사공부#역사관광지#역사를품은곳#역사속#역사속으로#역사여행
백마고지 3용사의 상,광진구,1.0,#관광지#백마고지3용사의상#수도권#역사#역사공부#역사관광지#역사를품은곳
송재서재필선생상,서대문구,1.0,#3·1운동_100주년_여행지추천#관광지#독립공원#독립신문#독립운동
해병대104고지전적비,서대문구,1.0,#관광지#기념탑#역사#역사공부#역사관광지#역사를품은곳#역사문화재
